filename,class,split,width,height,base_intensity,texture_type,lighting_angle,noise_strength,defect_count,defect_coverage_pct,defect_positions,defect_sizes_px,generation_seed,generation_timestamp
normal_00000.png,normal,train,256,256,182,matte,90.02324766928335,0.12552225618651228,0,0.0,[],[],42,2026-02-20T12:58:25.510003
normal_00001.png,normal,val,256,256,131,matte,86.63518383314872,0.11782402472801586,0,0.0,[],[],43,2026-02-20T12:58:25.536219
normal_00002.png,normal,val,256,256,170,grain,43.519653130421716,0.026424579329132787,0,0.0,[],[],44,2026-02-20T12:58:25.559506
normal_00003.png,normal,train,256,256,131,grain,136.3365149273594,0.1359689665947355,0,0.0,[],[],45,2026-02-20T12:58:25.600127
normal_00004.png,normal,train,256,256,129,matte,169.2923781163638,0.10832386349591923,0,0.0,[],[],46,2026-02-20T12:58:25.624503
normal_00005.png,normal,train,256,256,148,matte,137.2842125699353,0.12891125694899797,0,0.0,[],[],47,2026-02-20T12:58:25.641351
normal_00006.png,normal,train,256,256,139,brushed,206.49892609659767,0.08256929720503552,0,0.0,[],[],48,2026-02-20T12:58:25.662054
normal_00007.png,normal,train,256,256,119,matte,125.06384434786968,0.07291965519808116,0,0.0,[],[],49,2026-02-20T12:58:25.695958
normal_00008.png,normal,val,256,256,164,grain,95.47445420246997,0.03114407156743445,0,0.0,[],[],50,2026-02-20T12:58:25.719591
normal_00009.png,normal,val,256,256,143,matte,61.01547000556207,0.11316474359172042,0,0.0,[],[],51,2026-02-20T12:58:25.740612
normal_00010.png,normal,train,256,256,146,grain,293.6619038968237,0.07215351185063443,0,0.0,[],[],52,2026-02-20T12:58:25.774466
normal_00011.png,normal,val,256,256,103,grain,193.67588901386387,0.03863150179862904,0,0.0,[],[],53,2026-02-20T12:58:25.801571
normal_00012.png,normal,train,256,256,163,brushed,218.30314995083816,0.11105422268882491,0,0.0,[],[],54,2026-02-20T12:58:25.823723
normal_00013.png,normal,train,256,256,97,brushed,69.77024425166789,0.02493030418060783,0,0.0,[],[],55,2026-02-20T12:58:25.856952
normal_00014.png,normal,train,256,256,175,brushed,1.68382584111193,0.08389582516276033,0,0.0,[],[],56,2026-02-20T12:58:25.877893
